Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68048895,2026 Feb 18 11:14:00 AM,2026 Feb 18 11:35:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10031,3595 BROADWAY,BROADWAY,W 147 ST,W 148 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 18 11:35:00 AM,09 MANHATTAN,MANHATTAN,"998,309","241,004",Unspecified,MANHATTAN,,,,,,,,40.8281646,-73.94919923,POINT (-73.949199226071 40.828164602219)
67988478,2026 Feb 13 04:35:00 PM,2026 Feb 13 04:35:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,340 AVENUE OF AMERICAS,AVENUE OF AMERICAS,W 4 ST,WASHINGTON PL,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 13 04:35:00 PM,02 MANHATTAN,MANHATTAN,"984,006","205,889",Unspecified,MANHATTAN,,,,,,,,40.73179441,-74.00088039,POINT (-74.000880394159 40.731794412519)
67901638,2026 Feb 08 08:29:00 AM,2026 Feb 08 08:29:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10030,239 WEST  136 STREET,WEST  136 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 08 08:29:00 AM,10 MANHATTAN,MANHATTAN,"999,627","236,758",Unspecified,MANHATTAN,,,,,,,,40.81650834,-73.9444465,POINT (-73.944446497747 40.816508339884)
67855990,2026 Feb 04 05:38:00 PM,2026 Feb 04 05:38:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10012,138 SPRING STREET,SPRING STREET,GREENE ST,WOOSTER ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 04 05:38:00 PM,02 MANHATTAN,MANHATTAN,"984,010","203,060",Unspecified,MANHATTAN,,,,,,,,40.7240295,-74.00086586,POINT (-74.000865860571 40.724029497415)
67843324,2026 Feb 03 04:50:00 PM,2026 Feb 03 04:50:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10002,,,,,CLINTON STREET,GRAND STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 03 04:50:00 PM,03 MANHATTAN,MANHATTAN,"987,931","200,118",Unspecified,MANHATTAN,,,,,,,,40.71595365,-73.98672147,POINT (-73.986721472526 40.715953653568)
67810297,2026 Feb 01 05:26:00 PM,2026 Feb 01 05:26:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10037,29 WEST  138 STREET,WEST  138 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 01 05:26:00 PM,10 MANHATTAN,MANHATTAN,"1,001,505","236,314",Unspecified,MANHATTAN,,,,,,,,40.81528622,-73.93766287,POINT (-73.937662866939 40.81528621593)
67666111,2026 Jan 28 03:02:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10024,349 WEST   86 STREET,WEST   86 STREET,WEST END AVE,RIVERSIDE DR,,,ADDRESS,NEW YORK,,,Open,,,,07 MANHATTAN,MANHATTAN,"989,761","227,037",Unspecified,MANHATTAN,,,,,,,,40.78983853,-73.98009802,POINT (-73.980098023588 40.789838527887)
67645617,2026 Jan 27 11:23:00 AM,2026 Jan 28 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10032,,,,,EDGECOMBE AVENUE,WEST 167 STREET,INTERSECTION,MANHATTAN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2026 Jan 28 09:30:00 AM,12 MANHATTAN,MANHATTAN,"1,001,895","244,618",Unspecified,MANHATTAN,,,,,,,,40.83807755,-73.93623208,POINT (-73.93623207564 40.838077552963)
67580752,2026 Jan 23 02:53:00 PM,2026 Jan 23 02:53:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,,,,,1 AVENUE,EAST 14 STREET,INTERSECTION,MANHATTAN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2026 Jan 23 02:53:00 PM,03 MANHATTAN,MANHATTAN,"989,085","205,728",Unspecified,MANHATTAN,,,,,,,,40.73135119,-73.9825546,POINT (-73.982554600512 40.731351188883)
67548544,2026 Jan 20 10:26:00 AM,2026 Jan 20 12:40:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10016,470 3 AVENUE,3 AVENUE,E 32 ST,E 33 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Jan 20 12:40:00 PM,06 MANHATTAN,MANHATTAN,"990,079","210,550",Unspecified,MANHATTAN,,,,,,,,40.74458579,-73.97896392,POINT (-73.978963922553 40.744585785138)
67527339,2026 Jan 18 10:32:00 AM,2026 Jan 18 11:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10004,25 WATER STREET,WATER STREET,BROAD ST,COENTIES SLIP,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Jan 18 11:15:00 AM,01 MANHATTAN,MANHATTAN,"981,144","195,408",Unspecified,MANHATTAN,,,,,,,,40.70302604,-74.01120215,POINT (-74.011202148443 40.703026040764)
67462412,2026 Jan 11 01:20:00 PM,2026 Jan 11 01:20:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10128,539 EAST   87 STREET,EAST   87 STREET,YORK AVE,EAST END AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Jan 11 01:20:00 PM,08 MANHATTAN,MANHATTAN,"999,308","222,069",Unspecified,MANHATTAN,,,,,,,,40.77619158,-73.94563191,POINT (-73.945631906919 40.776191580626)
67444007,2026 Jan 09 06:26:00 PM,2026 Jan 09 08:45:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10023,15 WEST   67 STREET,WEST   67 STREET,CENTRAL PARK W,COLUMBUS AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Jan 09 08:45:00 PM,07 MANHATTAN,MANHATTAN,"990,070","221,025",Unspecified,MANHATTAN,,,,,,,,40.77333698,-73.97898733,POINT (-73.978987334259 40.773336984565)
67409570,2026 Jan 06 06:11:00 PM,2026 Jan 06 08:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,272 EAST    7 STREET,EAST    7 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Jan 06 08:30:00 PM,03 MANHATTAN,MANHATTAN,"990,493","202,864",Unspecified,MANHATTAN,,,,,,,,40.72348933,-73.97747698,POINT (-73.977476984201 40.723489325212)
67367243,2026 Jan 02 09:14:00 AM,2026 Jan 02 09:14:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10013,14 JAY STREET,JAY STREET,STAPLE ST,GREENWICH ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Jan 02 09:14:00 AM,01 MANHATTAN,MANHATTAN,"981,500","200,877",Unspecified,MANHATTAN,,,,,,,,40.71803726,-74.00992043,POINT (-74.009920427074 40.718037264938)
67342879,2025 Dec 30 09:32:00 AM,2025 Dec 30 09:32:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10001,303 9 AVENUE,9 AVENUE,W 26 ST,W 28 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,2025 Dec 30 09:32:00 AM,04 MANHATTAN,MANHATTAN,"984,456","212,287",Unspecified,MANHATTAN,,,,,,,,40.74935533,-73.99925652,POINT (-73.999256520472 40.749355332583)
67327138,2025 Dec 29 01:47:00 PM,2025 Dec 29 01:53:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,47 WEST   56 STREET,WEST   56 STREET,5 AVE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,2025 Dec 29 01:53:00 PM,05 MANHATTAN,MANHATTAN,"990,899","217,240",Unspecified,MANHATTAN,,,,,,,,40.76294756,-73.97599804,POINT (-73.975998037564 40.762947557874)
67306529,2025 Dec 27 10:59:00 PM,2025 Dec 28 12:45:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10023,320 COLUMBUS AVENUE,COLUMBUS AVENUE,W 75 ST,W 76 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Dec 28 12:45:00 AM,07 MANHATTAN,MANHATTAN,"990,535","223,257",Unspecified,MANHATTAN,,,,,,,,40.77946292,-73.9773064,POINT (-73.977306399639 40.779462918935)
67278914,2025 Dec 23 09:59:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10036,510 5 AVENUE,5 AVENUE,E 42 ST,E 43 ST,,,ADDRESS,NEW YORK,,,Open,,,,05 MANHATTAN,MANHATTAN,"989,642","213,970",Unspecified,MANHATTAN,,,,,,,,40.7539731,-73.98053825,POINT (-73.980538254625 40.753973100177)
67254505,2025 Dec 20 12:14:00 PM,2025 Dec 20 01:50:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,,,,,6 AVENUE,WEST 59 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Dec 20 01:50:00 PM,05 MANHATTAN,MANHATTAN,"990,833","218,234",Unspecified,MANHATTAN,,,,,,,,40.76567588,-73.97623531,POINT (-73.976235314884 40.76567588067)
67241184,2025 Dec 19 01:32:00 PM,2025 Dec 19 02:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10040,4519 BROADWAY,BROADWAY,W 193 ST,HILLSIDE AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2025 Dec 19 02:10:00 PM,12 MANHATTAN,MANHATTAN,"1,003,158","252,106",Unspecified,MANHATTAN,,,,,,,,40.85862728,-73.93164656,POINT (-73.93164655834 40.858627283108)
67239920,2025 Dec 19 01:32:00 PM,2025 Dec 19 02:40:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10040,,,,,BENNETT AVENUE,BROADWAY,INTERSECTION,MANHATTAN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2025 Dec 19 02:40:00 PM,12 MANHATTAN,MANHATTAN,"1,003,250","252,361",Unspecified,MANHATTAN,,,,,,,,40.85932698,-73.93131325,POINT (-73.931313250673 40.859326983825)
67237399,2025 Dec 19 09:08:00 AM,2025 Dec 19 01:55:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10022,550 MADISON AVENUE,MADISON AVENUE,E 55 ST,E 56 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 19 01:55:00 PM,05 MANHATTAN,MANHATTAN,"991,660","216,563",Unspecified,MANHATTAN,,,,,,,,40.76108876,-73.97325168,POINT (-73.97325168014 40.761088761949)
67237401,2025 Dec 19 08:56:00 AM,2025 Dec 19 11:50:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10024,525 WEST END AVENUE,WEST END AVENUE,W 85 ST,W 86 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 19 11:50:00 AM,07 MANHATTAN,MANHATTAN,"990,300","226,548",Unspecified,MANHATTAN,,,,,,,,40.788496,-73.97815196,POINT (-73.978151963428 40.788496001612)
67225954,2025 Dec 18 11:32:00 AM,2025 Dec 18 11:32:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10036,510 5 AVENUE,5 AVENUE,E 42 ST,E 43 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 18 11:32:00 AM,05 MANHATTAN,MANHATTAN,"989,642","213,970",Unspecified,MANHATTAN,,,,,,,,40.7539731,-73.98053825,POINT (-73.980538254625 40.753973100177)
67227257,2025 Dec 18 08:56:00 AM,2025 Dec 18 10:10:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10001,,,,,BROADWAY,WEST 31 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 18 10:10:00 AM,05 MANHATTAN,MANHATTAN,"987,490","211,624",Unspecified,MANHATTAN,,,,,,,,40.74753497,-73.98830676,POINT (-73.988306757984 40.747534973309)
67160051,2025 Dec 12 10:44:00 AM,2025 Dec 12 02:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10001,303 9 AVENUE,9 AVENUE,W 26 ST,W 28 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Dec 12 02:10:00 PM,04 MANHATTAN,MANHATTAN,"984,456","212,287",Unspecified,MANHATTAN,,,,,,,,40.74935533,-73.99925652,POINT (-73.999256520472 40.749355332583)
67059535,2025 Dec 05 08:08:00 AM,2025 Dec 05 11:05:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,262 WEST   53 STREET,WEST   53 STREET,BROADWAY,8 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 05 11:05:00 AM,05 MANHATTAN,MANHATTAN,"988,662","217,580",Unspecified,MANHATTAN,,,,,,,,40.76388217,-73.98407307,POINT (-73.984073072112 40.763882169616)
67054510,2025 Dec 04 09:50:00 PM,2025 Dec 04 10:45:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10039,720 LENOX AVENUE,LENOX AVENUE,W 146 ST,W 147 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Dec 04 10:45:00 PM,10 MANHATTAN,MANHATTAN,"1,002,057","238,468",Unspecified,MANHATTAN,,,,,,,,40.82119724,-73.93566294,POINT (-73.935662941997 40.82119724333)
67052788,2025 Dec 04 02:05:00 PM,2025 Dec 04 02:35:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10016,476 3 AVENUE,3 AVENUE,E 32 ST,E 33 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 04 02:35:00 PM,06 MANHATTAN,MANHATTAN,"990,108","210,603",Unspecified,MANHATTAN,,,,,,,,40.74473124,-73.97885922,POINT (-73.978859219294 40.744731237709)
67047716,2025 Dec 04 09:59:00 AM,2025 Dec 04 09:59:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,194 MANHATTAN AVENUE,MANHATTAN AVENUE,W 108 ST,W 109 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 04 09:59:00 AM,07 MANHATTAN,MANHATTAN,"995,235","230,820",Unspecified,MANHATTAN,,,,,,,,40.80021673,-73.96032348,POINT (-73.960323480062 40.800216728087)
67032851,2025 Dec 03 02:23:00 PM,2025 Dec 04 01:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,EAST    7 STREET,EAST    7 STREET,AVENUE B,AVENUE C,,,BLOCKFACE,MANHATTAN,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 04 01:10:00 PM,03 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
67026441,2025 Dec 02 12:53:00 PM,2025 Dec 02 04:25:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10004,,,,,WILLIAM STREET,SOUTH WILLIAM STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 02 04:25:00 PM,01 MANHATTAN,MANHATTAN,"981,482","196,181",Unspecified,MANHATTAN,,,,,,,,40.70514786,-74.00998343,POINT (-74.009983430076 40.705147856189)
67018226,2025 Dec 01 11:02:00 AM,2025 Dec 01 12:15:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10034,136 SHERMAN AVENUE,SHERMAN AVENUE,DYCKMAN ST,ACADEMY ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Dec 01 12:15:00 PM,12 MANHATTAN,MANHATTAN,"1,005,207","254,153",Unspecified,MANHATTAN,,,,,,,,40.86424105,-73.92423292,POINT (-73.92423291551 40.864241052883)
67014884,2025 Dec 01 10:23:00 AM,2025 Dec 02 02:10:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10026,1979 7 AVENUE,7 AVENUE,W 118 ST,W 119 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Dec 02 02:10:00 AM,10 MANHATTAN,MANHATTAN,"997,760","232,570",Unspecified,MANHATTAN,,,,,,,,40.8050165,-73.95119996,POINT (-73.951199959317 40.805016497634)
66954339,2025 Nov 25 08:47:00 PM,2025 Nov 26 09:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,,,,,BROADWAY,WEST 101 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2025 Nov 26 09:15:00 AM,07 MANHATTAN,MANHATTAN,"992,707","229,952",Unspecified,MANHATTAN,,,,,,,,40.79783709,-73.96945541,POINT (-73.969455409219 40.797837086064)
66951745,2025 Nov 25 07:59:00 PM,2025 Nov 25 08:40:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10010,,,,,3 AVENUE,EAST 23 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2025 Nov 25 08:40:00 PM,06 MANHATTAN,MANHATTAN,"988,920","208,453",Unspecified,MANHATTAN,,,,,,,,40.73883073,-73.98314805,POINT (-73.983148053531 40.738830730569)
